"key","de","ar","et","it"
"THE__WATER-BOTTLE__STORE_IN__THE__SUITCASE","Packe die Wasserflasche in den Koffer!","ضع زجاجة الماء في الحقيبة!","Paki veepudel kohvrisse!",
"A__CAT_FOOD__GIVE__A__CAT","Füttere eine Katze!","أطعم القطة!","Sööda kassi!",
"A__CAT_FOOD__GIVE__THE__BROWN__CAT","Füttere die braune Katze!","أطعم القط الأسمر!","Sööda pruuni kassi!",
"A__CAT_FOOD__GIVE__THE__GREY__CAT","Füttere die graue Katze!","أطعم القط الرمادي!","Sööda halli kassi!",
"A__CAT_FOOD__GIVE__THE__WHITE__CAT","Füttere die weiße Katze!","أطعم القطة البيضاء!","Söötke valget kassi!",
"THE__CAR__PARK__A__PARKING_LOT","Park das Auto!","أوقف السيارة!","Parkige auto!",
"THE__CAR__PARK__THE__PARKING_LOT__BEHIND/TOP_OF__THE__HOUSE","Park das Auto hinter dem Haus!","أوقف السيارة خلف المنزل!","Parkige auto maja taha!",
"THE__CAR__PARK__THE__PARKING_LOT__BELOW/INFRONT_OF__THE__HOUSE","Park das Auto vor dem Haus!","أوقف السيارة أمام المنزل!","Parkige auto maja ette!",
"THE__CAR__PARK__THE__PARKING_LOT__LEFT_OF__THE__HOUSE","Park das Auto links vom Haus!","أوقف السيارة على يسار المنزل!","Parkige auto majast vasakule!",
"THE__CAR__PARK__THE__PARKING_LOT__RIGHT_OF__THE__HOUSE","Park das Auto rechts vom Haus!","أوقف السيارة على يمين المنزل!","Parkige auto maja paremale poole!",
"THE__CAT_FOOD__GIVE__A__CAT","Füttere eine Katze!","أطعم القطة!","Sööda kassi!",
"THE__CAT_FOOD__GIVE__THE__BROWN__CAT","Füttere die braune Katze!","أطعم القطة البنية!","Sööda pruuni kassi!",
"THE__CAT_FOOD__GIVE__THE__GREY__CAT","Füttere die graue Katze!","أطعم القطة الرمادية!","Sööda halli kassi!",
"THE__CAT_FOOD__GIVE__THE__WHITE__CAT","Füttere die weiße Katze!","أطعم القطة البيضاء!","Sööda valget kassi!",
"THE__CHARACTER_WOMAN__BOARD__A__BUS","Steig in den Bus!","اركب الحافلة!","Istu bussi peale!",
"THE__CHARACTER_WOMAN__BOARD__THE__BUS__AT_BACK","Steig in den hinteren Bus!","اركبوا الحافلة الخلفية!","Istu tagumisse bussi!",
"THE__CHARACTER_WOMAN__BOARD__THE__BUS__AT_FRONT","Steig in den vorderen Bus!","!اركبوا الحافلة الأمامية","Istu esi bussis!",
"THE__CHARACTER_WOMAN__BOARD__THE__BUS__IN_MIDDLE","Steig in den mittleren Bus!","!اركبوا الحافلة الوسطى","Istu keskmisesse bussi!",
"A__AVOCADO__PLACE_ON/IN__A__BOWL","Leg eine Avocado in eine Schüssel!","ضع أفوكادو في وعاء!","Pane avokaado kaussi!",
"A__AVOCADO__PLACE_ON/IN__THE__BOWL","Leg eine Avocado in die Schüssel!","ضع أفوكادو في الوعاء!","Pane avokaado kaussi!",
"A__BROCCOLI_CUT__PLACE_ON/IN__THE__BOWL","Leg einen geschnittenen Brokkoli in die Schüssel!","ضعي شرائح البروكلي في الوعاء!","Pane kaussi viilutatud brokoli!",
"A__BROCCOLI__PLACE_ON/IN__THE__BOWL","Leg einen Brokkoli in die Schüssel!","ضع البروكلي في الوعاء!","Pane kaussi brokoli!",
"A__HAND__PULL__THE__CAR","Öffne die Autotür!","افتح باب السيارة!","Avage auto uks!",
"A__HAND__PULL__THE__DOOR_PUSH_TO_OPEN","Schließ die Tür!","أغلق الباب!","Sulge uks!",
"A__HAND__PUSH__THE__CAR","Schließ die Autotür!","أغلق باب السيارة!","Sulge auto uks!",
"A__HAND__PUSH__THE__DOOR_PUSH_TO_OPEN","Öffne die Tür!","افتح الباب!","Avage uks!",
"A__LEMON_CUT__PLACE_ON/IN__THE__BOWL","Leg eine geschnittene Zitrone in die Schüssel!","ضعي شريحة ليمون في الوعاء!","Pane kaussi viilutatud sidrun!",
"A__LEMON__PLACE_ON/IN__THE__BOWL","Leg eine Zitrone in die Schüssel!","ضع ليمونة في الوعاء!","Pane sidrun kaussi!",
"A__ONION__PLACE_ON/IN__THE__BOWL","Leg eine Zwiebel in die Schüssel!","ضع بصلة في الوعاء!","Pane sibul kaussi!",
"A__WATERMELON_CUT__PLACE_ON/IN__A__BOWL","Leg eine geschnittene Wassermelone in eine Schüssel!","ضعي بطيخة مقطعة إلى شرائح في الوعاء!","Pane kaussi viilutatud arbuus!",
"A__WATERMELON_CUT__PLACE_ON/IN__THE__BOWL","Leg eine geschnittene Wassermelone in die Schüssel!","ضعي بطيخة مقطعة إلى شرائح في الوعاء!","Pane viilutatud arbuus kaussi!",
"A__WATERMELON__PLACE_ON/IN__A__BOWL","Leg eine Wassermelone in eine Schüssel!","ضع بطيخة في وعاء!","Pange arbuus kaussi!",
"A__WATERMELON__PLACE_ON/IN__THE__BOWL","Leg eine Wassermelone in die Schüssel!","ضع بطيخة في الوعاء!","Pane arbuus kaussi!",
"THE__AVOCADO_CUT__PLACE_ON/IN__THE__BOWL","Leg die geschnittene Avokado in die Schüssel!","ضعي شرائح الأفوكادو في وعاء!","Pange viilutatud avokaado kaussi!",
"THE__AVOCADO__PLACE_ON/IN__A__BOWL","Leg die Avocado in eine Schüssel!","ضع الأفوكادو في وعاء!","Pange avokaado kaussi!",
"THE__AVOCADO__PLACE_ON/IN__THE__BOWL","Leg die Avocado in die Schüssel!","ضعي الأفوكادو في الوعاء!","Pange avokaado kaussi!",
"THE__BROCCOLI_CUT__PLACE_ON/IN__A__BOWL","Leg den geschnittenen Brokkoli in eine Schüssel!","ضعي شرائح البروكلي المقطعة في وعاء!","Pange viilutatud brokoli kaussi!",
"THE__BROCCOLI_CUT__PLACE_ON/IN__THE__BOWL","Leg den geschnittenen Brokkoli in die Schüssel!","ضعي شرائح البروكلي في وعاء!","Pange viilutatud brokoli kaussi!",
"THE__BROCCOLI__PLACE_ON/IN__A__BOWL","Leg den Brokkoli in eine Schüssel!","ضعي البروكلي في وعاء!","Pange brokoli kaussi!",
"THE__BROCCOLI__PLACE_ON/IN__THE__BOWL","Leg den Brokkoli in die Schüssel!","ضعي البروكلي في الوعاء!","Pange brokoli kaussi!",
"THE__CAR_KEYS__LOCK__THE__CAR","Schließ das Auto ab!","أقفل السيارة!","Lukustage auto!",
"THE__CAR_KEYS__UNLOCK__THE__CAR","Schließ das Auto auf!","افتحي السيارة!","Ava auto lahti!",
"THE__CAR__PARK__THE__PARKING_LOT","Park das Auto!","أركن السيارة!","Parkige auto!",
"THE__CAT_FOOD__GIVE__THE__CAT","Füttere die Katze!","أطعم القطة!","Sööda kassi!",
"THE__CAT_FOOD__GIVE__THE__DOG","Füttere den Hund!","أطعم الكلب!","Sööda koera!",
"THE__CHARACTER_WOMAN__BOARD__THE__BUS","Steig in den Bus!","اركب الحافلة!","Istu bussi!",
"THE__HAND__PULL__THE__CAR","Öffne die Autotür!","افتح باب السيارة!","Ava auto uks!",
"THE__HAND__PULL__THE__CARDBOARD_BOX","Öffne die Box!","افتح الصندوق!","Avage karp!",
"THE__HAND__PULL__THE__DOOR_PUSH_TO_OPEN","Schließ die Tür!","أغلق الباب!","Sulge uks!",
"THE__HAND__PUSH__THE__CAR","Schließ die Autotür!","أغلق باب السيارة!","Sulge auto uks!",
"THE__HAND__PUSH__THE__DOOR_PUSH_TO_OPEN","Öffne die Tür!","افتح الباب!","Avage uks!",
"THE__KEY_OLD__LOCK__THE__DOOR_PUSH_TO_OPEN","Schließ die Tür ab!","أغلق الباب!","Lukusta uks!",
"THE__KEY_OLD__UNLOCK__THE__DOOR_PUSH_TO_OPEN","Schließ die Tür auf!","افتح الباب!","Ava uks lahti!",
"THE__KIFE__CUT__A__BROCCOLI","Schneide einen Brokkoli!","اقطع البروكلي!","Lõika brokoli!",
"THE__KIFE__CUT__A__KIWI","Schneide eine Kiwi!","اقطع الكيوي!","Lõika kiivi!",
"THE__KIFE__CUT__A__LEMON","Schneide eine Zitrone!","اقطع ليمونة!","Lõika sidrun!",
"THE__KIFE__CUT__A__ONION","Schneide eine Zwiebel!","اقطع بصلة!","Lõika sibul!",
"THE__KIFE__CUT__A__WATERMELON","Schneide eine Wassermelone!","قطع البطيخ!","Lõika arbuus!",
"THE__KIFE__CUT__THE__AVOCADO","Schneide die Avokado!","قطع الأفوكادو!","Lõika avokaado!",
"THE__KIFE__CUT__THE__BROCCOLI","Schneide den Brokkoli!","قطع البروكلي!","Lõika brokoli!",
"THE__KIFE__CUT__THE__LEMON","Schneide die Zitrone!","قطع الليمون!","Lõika sidrun!",
"THE__KIFE__CUT__THE__ONION","Schneide die Zwiebel!","اقطع البصل!","Lõika sibul!",
"THE__KIFE__CUT__THE__WATERMELON","Schneide die Wassermelone!","قطع البطيخ!","Lõika arbuus!",
"THE__KIWI_HALVES__PLACE_ON/IN__THE__BOWL","Leg die geschnittene Kiwi in die Schüssel!","ضعي شرائح الكيوي المقطعة في وعاء!","Pane viilutatud kiivit kaussi!",
"THE__KIWI__PLACE_ON/IN__A__BOWL","Leg die Kiwi in eine Schüssel!","ضع الكيوي في وعاء!","Pane kiivi kaussi!",
"THE__KIWI__PLACE_ON/IN__THE__BOWL","Leg die Kiwi in die Schüssel!","ضعي الكيوي في الوعاء!","Pane kiivi kaussi!",
"THE__LEMON_CUT__PLACE_ON/IN__THE__BOWL","Leg die geschnittene Zitrone in die Schüssel!","ضعي شرائح الليمون في وعاء!","Pane viilutatud sidrun kaussi!",
"THE__LEMON__PLACE_ON/IN__A__BOWL","Leg die Zitrone in eine Schüssel!","ضع الليمون في وعاء!","Pane sidrun kaussi!",
"THE__LEMON__PLACE_ON/IN__THE__BOWL","Leg die Zitrone in die Schüssel!","ضعي الليمون في الوعاء!","Pange sidrun kaussi!",
"THE__ONION__PLACE_ON/IN__A__BOWL","Leg die Zwiebel in eine Schüssel!","ضع البصل في وعاء!","Pane sibul kaussi!",
"THE__ONION__PLACE_ON/IN__THE__BOWL","Leg die Zwiebel in die Schüssel!","ضع البصل في وعاء!","Pange sibul kaussi!",
"THE__WATERMELON_CUT__PLACE_ON/IN__A__BOWL","Leg die geschnittene Wassermelone in eine Schüssel!","ضع شرائح البطيخ في وعاء!","Pange viilutatud arbuus kaussi!",
"THE__WATERMELON_CUT__PLACE_ON/IN__THE__BOWL","Leg die geschnittene Wassermelone in die Schüssel!","ضعي شرائح البطيخ في وعاء!","Pange viilutatud arbuus kaussi!",
"THE__WATERMELON__PLACE_ON/IN__A__BOWL","Leg die Wassermelone in eine Schüssel!","ضعي البطيخ في وعاء!","Pange arbuus kaussi!",
"THE__WATERMELON__PLACE_ON/IN__THE__BOWL","Leg die Wassermelone in die Schüssel!","ضعي البطيخ في وعاء!","Pange arbuus kaussi!",
